Date,^DJI,^GSPC,^IXIC
2021-04-07,33446.26171875,4079.949951171875,13688.83984375
2021-04-08,33503.5703125,4097.169921875,13829.3095703125
2021-04-09,33800.6015625,4128.7998046875,13900.1904296875
2021-04-12,33745.3984375,4127.990234375,13850.0
2021-04-13,33677.26953125,4141.58984375,13996.099609375
2021-04-14,33730.890625,4124.66015625,13857.83984375
2021-04-15,34035.98828125,4170.419921875,14038.759765625
2021-04-16,34200.671875,4185.47021484375,14052.33984375
2021-04-19,34077.62890625,4163.259765625,13914.76953125
2021-04-20,33821.30078125,4134.93994140625,13786.26953125
2021-04-21,34137.30859375,4173.419921875,13950.2197265625
2021-04-22,33815.8984375,4134.97998046875,13818.41015625
2021-04-23,34043.48828125,4180.169921875,14016.8095703125
2021-04-26,33981.5703125,4187.6201171875,14138.7802734375
2021-04-27,33984.9296875,4186.72021484375,14090.2197265625
2021-04-28,33820.37890625,4183.18017578125,14051.0302734375
2021-04-29,34060.359375,4211.47021484375,14082.5498046875
2021-04-30,33874.8515625,4181.169921875,13962.6796875
2021-05-03,34113.23046875,4192.66015625,13895.1201171875
2021-05-04,34133.03125,4164.66015625,13633.5
2021-05-05,34230.33984375,4167.58984375,13582.419921875
2021-05-06,34548.53125,4201.6201171875,13632.83984375
2021-05-07,34777.76171875,4232.60009765625,13752.240234375
2021-05-10,34742.8203125,4188.43017578125,13401.8603515625
2021-05-11,34269.16015625,4152.10009765625,13389.4296875
2021-05-12,33587.66015625,4063.0400390625,13031.6796875
2021-05-13,34021.44921875,4112.5,13124.990234375
2021-05-14,34382.12890625,4173.85009765625,13429.98046875
2021-05-17,34327.7890625,4163.2900390625,13379.0498046875
2021-05-18,34060.66015625,4127.830078125,13303.6396484375
2021-05-19,33896.0390625,4115.68017578125,13299.740234375
2021-05-20,34084.1484375,4159.1201171875,13535.740234375
2021-05-21,34207.83984375,4155.85986328125,13470.990234375
2021-05-24,34393.98046875,4197.0498046875,13661.169921875
2021-05-25,34312.4609375,4188.1298828125,13657.169921875
2021-05-26,34323.05078125,4195.990234375,13738.0
2021-05-27,34464.640625,4200.8798828125,13736.2802734375
2021-05-28,34529.44921875,4204.10986328125,13748.740234375
2021-06-01,34575.30859375,4202.0400390625,13736.48046875
2021-06-02,34600.37890625,4208.1201171875,13756.330078125
2021-06-03,34577.0390625,4192.85009765625,13614.509765625
2021-06-04,34756.390625,4229.89013671875,13814.490234375
2021-06-07,34630.23828125,4226.52001953125,13881.7197265625
2021-06-08,34599.8203125,4227.259765625,13924.91015625
2021-06-09,34447.140625,4219.5498046875,13911.75
2021-06-10,34466.23828125,4239.18017578125,14020.330078125
2021-06-11,34479.6015625,4247.43994140625,14069.419921875
2021-06-14,34393.75,4255.14990234375,14174.1396484375
2021-06-15,34299.328125,4246.58984375,14072.8603515625
2021-06-16,34033.671875,4223.7001953125,14039.6796875
2021-06-17,33823.44921875,4221.85986328125,14161.349609375
2021-06-18,33290.078125,4166.4501953125,14030.3798828125
2021-06-21,33876.96875,4224.7900390625,14141.48046875
2021-06-22,33945.578125,4246.43994140625,14253.26953125
2021-06-23,33874.23828125,4241.83984375,14271.73046875
2021-06-24,34196.8203125,4266.490234375,14369.7099609375
2021-06-25,34433.83984375,4280.7001953125,14360.3896484375
2021-06-28,34283.26953125,4290.60986328125,14500.509765625
2021-06-29,34292.2890625,4291.7998046875,14528.330078125
2021-06-30,34502.51171875,4297.5,14503.9501953125
2021-07-01,34633.53125,4319.93994140625,14522.3798828125
2021-07-02,34786.3515625,4352.33984375,14639.330078125
2021-07-06,34577.37109375,4343.5400390625,14663.6396484375
2021-07-07,34681.7890625,4358.1298828125,14665.0595703125
2021-07-08,34421.9296875,4320.81982421875,14559.7802734375
2021-07-09,34870.16015625,4369.5498046875,14701.919921875
2021-07-12,34996.1796875,4384.6298828125,14733.240234375
2021-07-13,34888.7890625,4369.2099609375,14677.650390625
2021-07-14,34933.23046875,4374.2998046875,14644.9501953125
2021-07-15,34987.01953125,4360.02978515625,14543.1298828125
2021-07-16,34687.8515625,4327.16015625,14427.240234375
2021-07-19,33962.0390625,4258.490234375,14274.98046875
2021-07-20,34511.98828125,4323.06005859375,14498.8798828125
2021-07-21,34798.0,4358.68994140625,14631.9501953125
2021-07-22,34823.3515625,4367.47998046875,14684.599609375
2021-07-23,35061.55078125,4411.7900390625,14836.990234375
2021-07-26,35144.30859375,4422.2998046875,14840.7099609375
2021-07-27,35058.51953125,4401.4599609375,14660.580078125
2021-07-28,34930.9296875,4400.64013671875,14762.580078125
2021-07-29,35084.53125,4419.14990234375,14778.259765625
2021-07-30,34935.46875,4395.259765625,14672.6796875
2021-08-02,34838.16015625,4387.16015625,14681.0703125
2021-08-03,35116.3984375,4423.14990234375,14761.2900390625
2021-08-04,34792.671875,4402.66015625,14780.5302734375
2021-08-05,35064.25,4429.10009765625,14895.1201171875
2021-08-06,35208.51171875,4436.52001953125,14835.759765625
2021-08-09,35101.8515625,4432.35009765625,14860.1796875
2021-08-10,35264.671875,4436.75,14788.08984375
2021-08-11,35484.96875,4442.41015625,14765.1396484375
2021-08-12,35499.8515625,4460.830078125,14816.259765625
2021-08-13,35515.37890625,4468.0,14822.900390625
2021-08-16,35625.3984375,4479.7099609375,14793.759765625
2021-08-17,35343.28125,4448.080078125,14656.1796875
2021-08-18,34960.69140625,4400.27001953125,14525.91015625
2021-08-19,34894.12109375,4405.7998046875,14541.7900390625
2021-08-20,35120.078125,4441.669921875,14714.66015625
2021-08-23,35335.7109375,4479.52978515625,14942.650390625
2021-08-24,35366.26171875,4486.22998046875,15019.7998046875
2021-08-25,35405.5,4496.18994140625,15041.8603515625
2021-08-26,35213.12109375,4470.0,14945.8095703125
2021-08-27,35455.80078125,4509.3701171875,15129.5
2021-08-30,35399.83984375,4528.7900390625,15265.8896484375
2021-08-31,35360.73046875,4522.68017578125,15259.240234375
2021-09-01,35312.53125,4524.08984375,15309.3798828125
2021-09-02,35443.8203125,4536.9501953125,15331.1796875
2021-09-03,35369.08984375,4535.43017578125,15363.51953125
2021-09-07,35100.0,4520.02978515625,15374.330078125
2021-09-08,35031.0703125,4514.06982421875,15286.6396484375
2021-09-09,34879.37890625,4493.27978515625,15248.25
2021-09-10,34607.71875,4458.580078125,15115.490234375
2021-09-13,34869.62890625,4468.72998046875,15105.580078125
2021-09-14,34577.5703125,4443.0498046875,15037.759765625
2021-09-15,34814.390625,4480.7001953125,15161.5302734375
